# Blacklisted wallets (low winrate) | 387 wallets | export: 2026-07-23T14:38:37
# address | chain | blacklisted_at | reason
5DvXH4cL9iwhPN2vTDF4gDyaFu6P282cDiqzDwMoJvw1 | sol | 1784805935 | low_winrate
CCbMTNtNSwF5RrDSmzubcF9um49PZoU8WfJv47YNoKhz | sol | 1784805935 | low_winrate
5c5WNCnQnPkWAQcwHcm4x2R4JX9sV8YL4BiDEZ5fKqCd | sol | 1784805935 | low_winrate
8JpusvpTryBhKy5D9PRTx9t6xrusHYbnqAwqJLBmMm5S | sol | 1784805935 | low_winrate
jAxmrYKDB9VtYxSKCCExG7kFjLSSYkNFPFcwKPPvgPV | sol | 1784805935 | low_winrate
3UZiXyAkPTn3L7ziRct2rzfEqzXMdFQ5vDLLSDP6XLJY | sol | 1784805935 | low_winrate
2dHrjnovWbt5evnW9Ax2qUWUndJY653ipdU3tfNddvXP | sol | 1784805935 | low_winrate
9bCC4DJ8KBbXHKvzo2e93Q3mvzjB1X4Sa4qgpGKoomUx | sol | 1784805935 | low_winrate
31abnsLbiqCTXKDqm21MvzbAbVbR7CqkXP9jb37ZN1f8 | sol | 1784805935 | low_winrate
GQ2aUYFCSdT2GaxaN1saMC2DHdsqiRuNv4ZhNZvZAWwf | sol | 1784805935 | low_winrate
GJHkBLy3k1kK1szKG4T6XcqJvBiSZRTF9fua9Mgt7QJn | sol | 1784805935 | low_winrate
5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z | sol | 1784805935 | low_winrate
4EzdWDkLXEEVuNYhiVUVmtRVPzRLFMtCG6gYbUg3d9NT | sol | 1784805935 | low_winrate
DiY3AV2wRZfBbEVTwEx1nUEqEcKoAN4gZAg6o5687ZMS | sol | 1784805935 | low_winrate
DYgWgHYKARkD6DEyjpzXuFq4JPu3MYMavXr72qJAw6N1 | sol | 1784805935 | low_winrate
9nnwRej5NkxP5XYynkWdNnmCzW6xFgfBV6etak8gLX5X | sol | 1784805935 | low_winrate
7bp8hZuGwBYYRUFFS9tz2jg13buksc896XJCqDkJwwyW | sol | 1784805935 | low_winrate
319zHQpZxRepLWv3aR9hXDnGEYv3TXZL3FQ8Px27E2dW | sol | 1784805935 | low_winrate
67vaeYdbi5wwmMtn1b4m4APwRUMvuFvrzjb4Bq5M3fnb | sol | 1784805935 | low_winrate
F8wX5KKhGy8wpaEzwuFBaneYpTKHJUoEk2FBjw6eqVwJ | sol | 1784805935 | low_winrate
Fi971xvbV6niG36qFsR5oFqp52HCy4FkxAnCFitBYxU | sol | 1784805935 | low_winrate
BwqdWMWfPkoeYQidD4NTiVNXW5C2Ci4oM8AHZvsrm7nF | sol | 1784805912 | low_winrate
AoonGuCAbcVYiRfgPo8dvHiJdgXGhzLChTDcXyS58Xm4 | sol | 1784805912 | low_winrate
3yrZoWJcTfHjbv2F3zyEatYswJ1WehKaWzxAYotjBvso | sol | 1784805912 | low_winrate
GbvZDSGR5yyEHkZqfwzzzK7429kiVTGXnqQSmcgVWiu4 | sol | 1784805912 | low_winrate
UkwnHiiPdaGGEoAHwAh1xbiTjcAhVDn5upV6QKWUooQ | sol | 1784805889 | low_winrate
